team,age,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,season
None,1462,3183,0,79070,14821,30734,0,0,7215,9700,5126,10261,8026,2902,1742,6353,8290,36857,1978
Team.ATLANTA_HAWKS,316,844,0,19855,3505,7410,0,0,1940,2534,1381,2341,1938,801,596,1497,2424,8950,1978
Team.BOSTON_CELTICS,484,781,0,19680,3527,7347,0,0,1820,2321,1119,2396,1995,710,283,1690,1977,8874,1978
Team.CHICAGO_BULLS,360,828,0,19780,3478,7108,0,0,1632,2184,1224,2544,2169,576,324,1784,1970,8588,1978
Team.CLEVELAND_CAVALIERS,376,796,0,19680,3556,7602,0,0,1620,2103,1229,2256,1796,688,334,1347,2027,8732,1978
Team.DENVER_NUGGETS,329,812,0,19705,3517,7311,0,0,2046,2841,1307,2596,2166,673,416,1644,2106,9080,1978
Team.DETROIT_PISTONS,505,814,0,19780,3708,7802,0,0,1607,2242,1303,2380,2092,847,550,1565,2141,9023,1978
Team.GOLDEN_STATE_WARRIORS,348,819,0,19780,3627,7453,0,0,1367,1872,1169,2513,2064,774,420,1467,2023,8621,1978
Team.HOUSTON_ROCKETS,347,757,0,19780,3726,7498,0,0,1845,2330,1256,2504,2302,632,286,1484,2001,9297,1978
Team.INDIANA_PACERS,324,804,0,19705,3575,7525,0,0,1759,2317,1225,2530,2005,687,416,1510,2093,8909,1978
Team.LOS_ANGELES_LAKERS,342,824,0,19780,3827,7397,0,0,1606,2088,949,2557,2338,793,500,1547,1851,9260,1978
Team.MILWAUKEE_BUCKS,345,846,0,19880,3906,7773,0,0,1541,2021,1157,2370,2562,862,435,1554,2106,9353,1978
Team.NEW_JERSEY_NETS,362,816,0,19755,3464,7523,0,0,1904,2613,1241,2370,1907,853,619,1845,2329,8832,1978
Team.NEW_YORK_KNICKS,413,807,0,19780,3676,7554,0,0,1478,2111,1200,2430,2121,699,397,1581,2154,8830,1978
Team.PHILADELPHIA_76ERS,366,780,0,19805,3584,7338,0,0,1815,2411,1149,2712,2253,779,599,1756,2072,8983,1978
Team.PHOENIX_SUNS,334,845,0,19780,3847,7516,0,0,1765,2299,1083,2379,2500,915,337,1738,1944,9459,1978
Team.PORTLAND_TRAIL_BLAZERS,384,791,0,19780,3541,7338,0,0,1806,2362,1256,2435,1946,776,512,1638,2187,8888,1978
Team.SAN_ANTONIO_SPURS,324,825,0,19830,3927,7760,0,0,1926,2423,1096,2619,2313,829,509,1638,2071,9780,1978
Team.SEATTLE_SUPERSONICS,372,816,0,19755,3504,7484,0,0,1732,2298,1310,2591,1973,690,398,1572,1914,8740,1978
None,1219,2394,0,59440,10680,22779,275,895,4818,6465,3815,7460,6012,2057,1087,4191,5924,26453,1979
Team.ATLANTA_HAWKS,392,858,0,19780,3261,7027,13,75,2038,2645,1369,2406,1913,782,539,1466,2293,8573,1979
Team.BOSTON_CELTICS,331,828,410,19880,3617,7387,162,422,1907,2449,1227,2457,2198,809,308,1490,1974,9303,1979
Team.CHICAGO_BULLS,398,800,0,19905,3362,6943,70,275,2019,2592,1115,2465,2152,704,392,1661,2146,8813,1979
Team.CLEVELAND_CAVALIERS,414,796,0,19930,3811,8041,36,187,1702,2205,1307,2381,2108,764,342,1349,1934,9360,1979
Team.DENVER_NUGGETS,391,795,0,19830,3462,7470,83,255,1871,2539,1311,2524,2079,746,404,1497,1917,8878,1979
Team.DETROIT_PISTONS,420,770,0,19780,3643,7596,57,219,1590,2149,1226,2415,1950,783,562,1727,2069,8933,1979
Team.GOLDEN_STATE_WARRIORS,365,825,0,19880,3527,7318,27,121,1412,1914,1155,2437,2028,779,339,1455,2082,8493,1979
Team.HOUSTON_ROCKETS,406,774,0,19930,3599,7496,104,379,1782,2326,1394,2217,2149,782,373,1535,1927,9084,1979
Team.INDIANA_PACERS,405,795,0,19855,3639,7689,88,314,1753,2333,1398,2326,2148,900,530,1500,1973,9119,1979
Team.LOS_ANGELES_LAKERS,384,757,0,19880,3898,7368,20,100,1622,2092,1085,2653,2413,774,546,1626,1784,9438,1979
Team.MILWAUKEE_BUCKS,306,837,0,19805,3685,7553,50,155,1605,2102,1245,2396,2277,778,510,1463,1937,9025,1979
Team.NEW_JERSEY_NETS,423,789,0,19805,3456,7504,85,298,1882,2406,1229,2535,2094,869,581,1691,2181,8879,1979
Team.NEW_YORK_KNICKS,327,845,0,19780,3802,7672,42,191,1698,2274,1236,2303,2265,881,457,1589,2168,9344,1979
Team.PHILADELPHIA_76ERS,367,747,0,19855,3523,7156,27,125,1876,2431,1187,2635,2226,792,652,1674,1860,8949,1979
Team.PHOENIX_SUNS,310,863,0,19755,3570,7235,68,280,1906,2466,1071,2458,2283,908,344,1615,1853,9114,1979
Team.PORTLAND_TRAIL_BLAZERS,393,801,0,19780,3408,7167,26,132,1560,2100,1295,2408,1898,708,472,1523,1956,8402,1979
Team.SAN_ANTONIO_SPURS,396,796,0,19755,3856,7738,52,206,2024,2528,1153,2515,2326,771,333,1574,2103,9788,1979
Team.SEATTLE_SUPERSONICS,292,821,0,19830,3554,7565,59,189,1730,2253,1380,2550,2043,750,428,1482,1865,8897,1979
Team.UTAH_JAZZ,513,806,0,19805,3382,6817,59,185,1571,1943,967,2359,2005,656,362,1488,2006,8394,1979
None,1230,2405,0,59340,10598,21951,246,816,4726,6524,3361,7127,6520,2124,1069,4212,6065,26168,1980
Team.ATLANTA_HAWKS,396,815,0,19930,3291,6866,10,82,2012,2590,1201,2224,1846,749,469,1574,2276,8604,1980
Team.BOSTON_CELTICS,318,796,410,19780,3581,7099,65,241,1781,2369,1155,2424,2202,683,594,1550,1990,9008,1980
Team.CHICAGO_BULLS,335,823,0,19780,3457,6903,38,179,1985,2563,1227,2475,1925,729,514,1648,2058,8937,1980
Team.CLEVELAND_CAVALIERS,473,797,0,19780,3556,7609,72,249,1486,1909,1258,2243,2007,632,322,1366,1995,8670,1980
Team.DALLAS_MAVERICKS,515,816,0,19780,3204,6928,46,165,1868,2487,1109,2177,1984,561,214,1412,2008,8322,1980
Team.DENVER_NUGGETS,413,813,0,19955,3784,7960,30,145,2388,3051,1325,2497,2030,720,380,1432,2108,9986,1980
Team.DETROIT_PISTONS,392,778,0,19755,3236,6986,13,84,1689,2330,1201,2111,1819,884,492,1729,2125,8174,1980
Team.GOLDEN_STATE_WARRIORS,432,807,0,19730,3560,7284,60,210,1826,2513,1403,2366,2026,611,301,1519,2158,9006,1980
Team.HOUSTON_ROCKETS,344,802,0,19805,3573,7335,21,118,1711,2223,1216,2347,2099,705,390,1433,1901,8878,1980
Team.INDIANA_PACERS,354,830,0,19730,3491,7245,30,169,1815,2540,1325,2267,2091,833,484,1463,2006,8827,1980
Team.LOS_ANGELES_LAKERS,359,769,0,19805,3780,7382,17,94,1540,2113,1165,2491,2363,808,551,1533,1955,9117,1980
Team.MILWAUKEE_BUCKS,294,827,0,19755,3722,7472,30,131,1802,2340,1261,2408,2319,862,530,1561,2198,9276,1980
