YEAR,FG2M,FG2A,FG3M,FG3A,FGM,FGA,FTM,FTA,PTS,GP,FG2_PCT,FG3_PCT,FG_PCT,FT_PCT,FG3A/FGA,FG2A/FGA,FTA/FGA,FG3A/FG2A,FG2M_PER_GP,FG3M_PER_GP,FG2A_PER_GP,FG3A_PER_GP,PTS_PER_GP,3PT_PER_PTS,2PT_PER_PTS
1946-01-01,4372,0,0,0,4372,0,0,4409,11604,180,inf,,inf,0.0,,,inf,,24.288888888888888,0.0,0.0,0.0,64.46666666666667,0.0,0.7535332643915891
1947-01-01,3875,0,0,0,3875,0,0,3886,10402,144,inf,,inf,0.0,,,inf,,26.90972222222222,0.0,0.0,0.0,72.23611111111111,0.0,0.7450490290328783
1948-01-01,10457,0,0,0,10457,0,0,11510,28908,360,inf,,inf,0.0,,,inf,,29.04722222222222,0.0,0.0,0.0,80.3,0.0,0.7234675522346755
1949-01-01,15273,0,0,0,15273,0,0,17901,43342,536,inf,,inf,0.0,,,inf,,28.494402985074625,0.0,0.0,0.0,80.86194029850746,0.0,0.7047667389599003
1950-01-01,16077,0,0,0,16077,0,0,18510,45701,539,inf,,inf,0.0,,,inf,,29.827458256029686,0.0,0.0,0.0,84.78849721706865,0.0,0.7035732259687972
1951-01-01,15651,0,0,0,15651,0,0,17765,44390,528,inf,,inf,0.0,,,inf,,29.642045454545453,0.0,0.0,0.0,84.0719696969697,0.0,0.7051588195539535
1952-01-01,16099,0,0,0,16099,0,0,20376,46824,561,inf,,inf,0.0,,,inf,,28.696969696969695,0.0,0.0,0.0,83.46524064171123,0.0,0.6876388177003246
1953-01-01,16146,0,0,0,16146,0,0,19102,45901,576,inf,,inf,0.0,,,inf,,28.03125,0.0,0.0,0.0,79.68923611111111,0.0,0.703514084660465
1954-01-01,19173,0,0,0,19173,0,0,20691,53608,576,inf,,inf,0.0,,,inf,,33.286458333333336,0.0,0.0,0.0,93.06944444444444,0.0,0.7153036860170124
1955-01-01,20354,0,0,0,20354,0,0,21914,57039,576,inf,,inf,0.0,,,inf,,35.33680555555556,0.0,0.0,0.0,99.02604166666667,0.0,0.713687126352145
1956-01-01,20699,0,0,0,20699,0,0,21280,57379,576,inf,,inf,0.0,,,inf,,35.935763888888886,0.0,0.0,0.0,99.61631944444444,0.0,0.7214834695620349
1957-01-01,22480,0,0,0,22480,0,0,22054,61423,576,inf,,inf,0.0,,,inf,,39.02777777777778,0.0,0.0,0.0,106.63715277777777,0.0,0.7319733650261303
1958-01-01,23270,0,0,0,23270,0,0,20909,62348,576,inf,,inf,0.0,,,inf,,40.39930555555556,0.0,0.0,0.0,108.24305555555556,0.0,0.7464553794829024
1959-01-01,26703,0,0,0,26703,0,0,21501,69200,600,inf,,inf,0.0,,,inf,,44.505,0.0,0.0,0.0,115.33333333333333,0.0,0.7717630057803468
1960-01-01,28667,0,0,0,28667,0,0,23619,74650,632,inf,,inf,0.0,,,inf,,45.359177215189874,0.0,0.0,0.0,118.11708860759494,0.0,0.7680375083724046
1961-01-01,33048,0,0,0,33048,0,0,26686,85510,720,inf,,inf,0.0,,,inf,,45.9,0.0,0.0,0.0,118.76388888888889,0.0,0.772962226640159
1962-01-01,32112,0,0,0,32112,0,0,25827,82993,720,inf,,inf,0.0,,,inf,,44.6,0.0,0.0,0.0,115.26805555555555,0.0,0.7738483968527466
1963-01-01,30863,0,0,0,30863,0,0,25189,79921,720,inf,,inf,0.0,,,inf,,42.86527777777778,0.0,0.0,0.0,111.00138888888888,0.0,0.7723376834624192
1964-01-01,30595,0,0,0,30595,0,0,25604,79641,720,inf,,inf,0.0,,,inf,,42.49305555555556,0.0,0.0,0.0,110.6125,0.0,0.7683228487839179
1965-01-01,31914,0,0,0,31914,0,0,26609,83165,720,inf,,inf,0.0,,,inf,,44.325,0.0,0.0,0.0,115.50694444444444,0.0,0.7674863223711899
1966-01-01,36826,0,0,0,36826,0,0,29357,95133,810,inf,,inf,0.0,,,inf,,45.4641975308642,0.0,0.0,0.0,117.44814814814815,0.0,0.7742003300642258
1967-01-01,44247,0,0,0,44247,0,0,36474,114741,984,inf,,inf,0.0,,,inf,,44.96646341463415,0.0,0.0,0.0,116.60670731707317,0.0,0.7712500326823019
1968-01-01,50129,0,0,0,50129,0,0,40189,128938,1148,inf,,inf,0.0,,,inf,,43.66637630662021,0.0,0.0,0.0,112.31533101045297,0.0,0.7775675130682964
